0,suspicious_char_path,len_path,top_tld,suspicious_word_domain,num_special_char_domain,https_protocol,num_slash,num_dots,url_length,is_threat_threat
,0.0,67.0,0.0,0.0,0.0,0.0,3.0,1.0,67.0,True
,1.0,94.0,0.0,0.0,0.0,0.0,8.0,2.0,94.0,False
,0.0,142.0,0.0,0.0,0.0,0.0,6.0,1.0,142.0,False
,0.0,36.0,0.0,0.0,0.0,0.0,2.0,2.0,79.0,False
,0.0,26.0,0.0,0.0,0.0,0.0,2.0,1.0,26.0,True
,0.0,35.0,0.0,0.0,0.0,0.0,3.0,3.0,35.0,True
,0.0,48.0,0.0,0.0,0.0,0.0,1.0,2.0,48.0,True
,0.0,58.0,0.0,0.0,0.0,0.0,3.0,1.0,58.0,True
,0.0,70.0,0.0,0.0,0.0,0.0,4.0,2.0,231.0,False
,0.0,68.0,0.0,0.0,0.0,0.0,4.0,1.0,68.0,True
,0.0,65.0,1.0,0.0,0.0,0.0,4.0,1.0,81.0,True
,0.0,52.0,0.0,0.0,0.0,0.0,3.0,2.0,65.0,True
,0.0,66.0,0.0,0.0,0.0,0.0,2.0,1.0,66.0,False
,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,False
,0.0,34.0,0.0,0.0,0.0,0.0,3.0,1.0,34.0,False
,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,True
,0.0,22.0,0.0,0.0,0.0,0.0,2.0,1.0,22.0,False
,0.0,101.0,0.0,0.0,0.0,0.0,4.0,3.0,143.0,True
,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,20.0,True
,0.0,90.0,0.0,0.0,0.0,0.0,2.0,2.0,90.0,True
,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,False
,0.0,24.0,0.0,0.0,0.0,0.0,3.0,1.0,24.0,False
,0.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,44.0,False
,0.0,41.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,True
,0.0,54.0,0.0,0.0,0.0,0.0,4.0,3.0,54.0,True
,0.0,101.0,0.0,0.0,0.0,0.0,3.0,2.0,101.0,False
,0.0,30.0,0.0,0.0,0.0,0.0,2.0,3.0,30.0,True
,0.0,11.0,1.0,0.0,0.0,0.0,3.0,3.0,38.0,True
,0.0,28.0,0.0,0.0,0.0,0.0,2.0,1.0,28.0,False
,0.0,20.0,1.0,0.0,0.0,0.0,4.0,2.0,40.0,True
,0.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,38.0,True
,0.0,40.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,False
,0.0,63.0,0.0,0.0,0.0,0.0,3.0,2.0,63.0,False
,0.0,43.0,0.0,0.0,0.0,0.0,5.0,1.0,43.0,False
,0.0,26.0,0.0,0.0,0.0,0.0,1.0,2.0,26.0,False
,0.0,63.0,1.0,0.0,0.0,0.0,7.0,2.0,90.0,True
,0.0,49.0,0.0,0.0,0.0,0.0,2.0,2.0,49.0,True
,0.0,73.0,0.0,0.0,0.0,0.0,6.0,1.0,88.0,False
,0.0,49.0,1.0,0.0,0.0,0.0,6.0,2.0,87.0,False
,0.0,65.0,1.0,0.0,0.0,0.0,4.0,1.0,81.0,True
,0.0,45.0,0.0,0.0,0.0,0.0,3.0,3.0,45.0,True
,0.0,51.0,0.0,0.0,0.0,0.0,2.0,2.0,90.0,False
,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,True
,0.0,24.0,0.0,0.0,0.0,0.0,2.0,1.0,24.0,True
,1.0,59.0,1.0,0.0,0.0,0.0,6.0,3.0,79.0,True
,0.0,48.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,False
,0.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,True
,0.0,90.0,1.0,0.0,0.0,0.0,4.0,1.0,109.0,False
,0.0,10.0,1.0,0.0,0.0,0.0,3.0,2.0,106.0,True
,0.0,30.0,0.0,0.0,0.0,0.0,3.0,1.0,30.0,True
,0.0,54.0,0.0,0.0,0.0,0.0,2.0,2.0,54.0,True
,0.0,10.0,1.0,0.0,0.0,0.0,3.0,2.0,79.0,True
,1.0,62.0,0.0,0.0,0.0,0.0,3.0,1.0,62.0,False
,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,False
,0.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,False
,0.0,37.0,0.0,0.0,0.0,0.0,2.0,2.0,80.0,False
,0.0,34.0,0.0,0.0,0.0,0.0,1.0,3.0,34.0,True
,0.0,31.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,True
,0.0,30.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,False
,0.0,41.0,0.0,0.0,0.0,0.0,5.0,1.0,41.0,False
,0.0,43.0,0.0,0.0,0.0,0.0,3.0,2.0,43.0,False
,0.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,58.0,False
,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,True
,0.0,33.0,0.0,0.0,0.0,0.0,1.0,2.0,33.0,False
